Time,CORE_ZN ZN:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_ZN ZN:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_ZN ZN:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_ZN ZN:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1 ZN:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_1 ZN:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_1 ZN:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1 ZN:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2 ZN:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_2 ZN:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_2 ZN:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2 ZN:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3 ZN:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_3 ZN:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_3 ZN:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3 ZN:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4 ZN:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_4 ZN:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_4 ZN:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4 ZN:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,2.439099E+03,2.673471E+03,8.279510E-02,2.357517E-01,5.015329E+03,2.294933E+03,1.702299E-01,2.023839E-01,2.971441E+03,1.484530E+03,1.008557E-01,1.309171E-01,4.620832E+03,2.265948E+03,1.568400E-01,1.998279E-01,2.995870E+03,1.587478E+03,1.016848E-01,1.399956E-01
00:20:00,2.437674E+03,2.669430E+03,8.274671E-02,2.353954E-01,5.014220E+03,2.283869E+03,1.701923E-01,2.014082E-01,2.970780E+03,1.476993E+03,1.008332E-01,1.302524E-01,4.619709E+03,2.256435E+03,1.568019E-01,1.989890E-01,2.995210E+03,1.578305E+03,1.016624E-01,1.391867E-01
00:30:00,2.436257E+03,2.665362E+03,8.269860E-02,2.350367E-01,5.013117E+03,2.272900E+03,1.701549E-01,2.004409E-01,2.970123E+03,1.469530E+03,1.008109E-01,1.295943E-01,4.618593E+03,2.246998E+03,1.567640E-01,1.981568E-01,2.994553E+03,1.569218E+03,1.016401E-01,1.383853E-01
00:40:00,2.434848E+03,2.661267E+03,8.265078E-02,2.346756E-01,5.012021E+03,2.262029E+03,1.701177E-01,1.994823E-01,2.969470E+03,1.462142E+03,1.007887E-01,1.289428E-01,4.617483E+03,2.237638E+03,1.567263E-01,1.973314E-01,2.993900E+03,1.560219E+03,1.016180E-01,1.375918E-01
00:50:00,2.433447E+03,2.657146E+03,8.260323E-02,2.343122E-01,5.010932E+03,2.251263E+03,1.700807E-01,1.985328E-01,2.968820E+03,1.454832E+03,1.007667E-01,1.282982E-01,4.616380E+03,2.228359E+03,1.566889E-01,1.965131E-01,2.993251E+03,1.551312E+03,1.015959E-01,1.368063E-01
01:00:00,2.432055E+03,2.653000E+03,8.255596E-02,2.339466E-01,5.009849E+03,2.240605E+03,1.700439E-01,1.975929E-01,2.968175E+03,1.447601E+03,1.007448E-01,1.276605E-01,4.615283E+03,2.219165E+03,1.566516E-01,1.957023E-01,2.992606E+03,1.542497E+03,1.015740E-01,1.360289E-01
01:10:00,2.432144E+03,2.649732E+03,8.255900E-02,2.336584E-01,5.009918E+03,2.230828E+03,1.700463E-01,1.967307E-01,2.968216E+03,1.440909E+03,1.007462E-01,1.270704E-01,4.615353E+03,2.210827E+03,1.566540E-01,1.949671E-01,2.992648E+03,1.534241E+03,1.015754E-01,1.353009E-01
01:20:00,2.432233E+03,2.646436E+03,8.256201E-02,2.333678E-01,5.009987E+03,2.221256E+03,1.700486E-01,1.958867E-01,2.968257E+03,1.434347E+03,1.007476E-01,1.264917E-01,4.615423E+03,2.202650E+03,1.566564E-01,1.942460E-01,2.992689E+03,1.526134E+03,1.015768E-01,1.345860E-01
01:30:00,2.432321E+03,2.643115E+03,8.256501E-02,2.330749E-01,5.010056E+03,2.211895E+03,1.700510E-01,1.950611E-01,2.968298E+03,1.427918E+03,1.007490E-01,1.259247E-01,4.615493E+03,2.194638E+03,1.566588E-01,1.935394E-01,2.992730E+03,1.518179E+03,1.015782E-01,1.338844E-01
01:40:00,2.432409E+03,2.639771E+03,8.256799E-02,2.327800E-01,5.010124E+03,2.202749E+03,1.700533E-01,1.942546E-01,2.968339E+03,1.421623E+03,1.007504E-01,1.253696E-01,4.615562E+03,2.186793E+03,1.566611E-01,1.928477E-01,2.992770E+03,1.510377E+03,1.015796E-01,1.331965E-01
