Time,FIVEZONE PVAV:DesPer 1:Des Heat Mass Flow [kg/s],FIVEZONE PVAV:DesPer 1:Des Heat Cap [W],FIVEZONE PVAV:DesPer 1:Des Cool Mass Flow [kg/s],FIVEZONE PVAV:DesPer 1:Des Sens Cool Cap [W],FIVEZONE PVAV:DesPer 1:Des Tot Cool Cap [W],FIVEZONE PVAV:DesPer 2:Des Heat Mass Flow [kg/s],FIVEZONE PVAV:DesPer 2:Des Heat Cap [W],FIVEZONE PVAV:DesPer 2:Des Cool Mass Flow [kg/s],FIVEZONE PVAV:DesPer 2:Des Sens Cool Cap [W],FIVEZONE PVAV:DesPer 2:Des Tot Cool Cap [W]
00:10:00,2.595386E-01,0.000000E+00,1.040368E+00,1.191827E+04,2.025143E+04,6.635227E-01,1.231364E+04,2.595386E-01,0.000000E+00,0.000000E+00
00:20:00,2.595386E-01,0.000000E+00,1.036796E+00,1.183275E+04,2.016144E+04,6.633113E-01,1.231541E+04,2.595386E-01,0.000000E+00,0.000000E+00
00:30:00,2.595386E-01,0.000000E+00,1.033240E+00,1.174741E+04,2.007161E+04,6.631012E-01,1.231717E+04,2.595386E-01,0.000000E+00,0.000000E+00
00:40:00,2.595386E-01,0.000000E+00,1.029700E+00,1.166225E+04,1.998196E+04,6.628923E-01,1.231892E+04,2.595386E-01,0.000000E+00,0.000000E+00
00:50:00,2.595386E-01,0.000000E+00,1.026179E+00,1.157730E+04,1.989251E+04,6.626846E-01,1.232066E+04,2.595386E-01,0.000000E+00,0.000000E+00
01:00:00,2.595386E-01,0.000000E+00,1.022677E+00,1.149256E+04,1.980329E+04,6.624781E-01,1.232239E+04,2.595386E-01,0.000000E+00,0.000000E+00
01:10:00,2.595386E-01,0.000000E+00,1.019522E+00,1.142690E+04,1.973410E+04,6.624914E-01,1.232228E+04,2.595386E-01,0.000000E+00,0.000000E+00
01:20:00,2.595386E-01,0.000000E+00,1.016398E+00,1.136159E+04,1.966529E+04,6.625045E-01,1.232217E+04,2.595386E-01,0.000000E+00,0.000000E+00
01:30:00,2.595386E-01,0.000000E+00,1.013307E+00,1.129666E+04,1.959686E+04,6.625176E-01,1.232206E+04,2.595386E-01,0.000000E+00,0.000000E+00
01:40:00,2.595386E-01,0.000000E+00,1.010251E+00,1.123211E+04,1.952883E+04,6.625306E-01,1.232195E+04,2.595386E-01,0.000000E+00,0.000000E+00
01:50:00,2.595386E-01,0.000000E+00,1.007231E+00,1.116797E+04,1.946123E+04,6.625436E-01,1.232184E+04,2.595386E-01,0.000000E+00,0.000000E+00
02:00:00,2.595386E-01,0.000000E+00,1.004249E+00,1.110424E+04,1.939408E+04,6.625565E-01,1.232173E+04,2.595386E-01,0.000000E+00,0.000000E+00
02:10:00,2.595386E-01,0.000000E+00,1.001291E+00,1.104840E+04,1.933499E+04,6.625693E-01,1.232162E+04,2.595386E-01,0.000000E+00,0.000000E+00
02:20:00,2.595386E-01,0.000000E+00,9.983586E-01,1.099284E+04,1.927617E+04,6.625820E-01,1.232152E+04,2.595386E-01,0.000000E+00,0.000000E+00
02:30:00,2.595386E-01,0.000000E+00,9.954508E-01,1.093755E+04,1.921766E+04,6.625946E-01,1.232141E+04,2.595386E-01,0.000000E+00,0.000000E+00
02:40:00,2.595386E-01,0.000000E+00,9.925692E-01,1.088256E+04,1.915943E+04,6.626072E-01,1.232131E+04,2.595386E-01,0.000000E+00,0.000000E+00
02:50:00,2.595386E-01,0.000000E+00,9.897135E-01,1.082785E+04,1.910150E+04,6.626197E-01,1.232120E+04,2.595386E-01,0.000000E+00,0.000000E+00
03:00:00,2.595386E-01,0.000000E+00,9.868832E-01,1.077343E+04,1.904388E+04,6.626321E-01,1.232110E+04,2.595386E-01,0.000000E+00,0.000000E+00
03:10:00,2.595386E-01,0.000000E+00,9.840671E-01,1.071917E+04,1.898641E+04,6.626445E-01,1.232099E+04,2.595386E-01,0.000000E+00,0.000000E+00
03:20:00,2.595386E-01,0.000000E+00,9.812632E-01,1.066505E+04,1.892906E+04,6.626567E-01,1.232089E+04,2.595386E-01,0.000000E+00,0.000000E+00
03:30:00,2.595386E-01,0.000000E+00,9.784688E-01,1.061103E+04,1.887182E+04,6.626690E-01,1.232079E+04,2.595386E-01,0.000000E+00,0.000000E+00
03:40:00,2.595386E-01,0.000000E+00,9.756810E-01,1.055708E+04,1.881464E+04,6.626811E-01,1.232069E+04,2.595386E-01,0.000000E+00,0.000000E+00
03:50:00,2.595386E-01,0.000000E+00,9.728992E-01,1.050320E+04,1.875752E+04,6.626932E-01,1.232059E+04,2.595386E-01,0.000000E+00,0.000000E+00
04:00:00,2.595386E-01,0.000000E+00,9.701219E-01,1.044937E+04,1.870043E+04,6.627051E-01,1.232049E+04,2.595386E-01,0.000000E+00,0.000000E+00
04:10:00,2.595386E-01,0.000000E+00,9.673587E-01,1.040331E+04,1.865128E+04,6.627171E-01,1.232039E+04,2.595386E-01,0.000000E+00,0.000000E+00
04:20:00,2.595386E-01,0.000000E+00,9.646106E-01,1.035741E+04,1.860230E+04,6.627289E-01,1.232029E+04,2.595386E-01,0.000000E+00,0.000000E+00
04:30:00,2.595386E-01,0.000000E+00,9.618796E-01,1.031171E+04,1.855352E+04,6.627407E-01,1.232019E+04,2.595386E-01,0.000000E+00,0.000000E+00
04:40:00,2.595386E-01,0.000000E+00,9.597464E-01,1.027268E+04,1.851256E+04,6.627524E-01,1.232009E+04,2.595386E-01,0.000000E+00,0.000000E+00
04:50:00,2.595386E-01,0.000000E+00,9.590954E-01,1.025020E+04,1.849061E+04,6.627641E-01,1.231999E+04,2.595386E-01,0.000000E+00,0.000000E+00
05:00:00,2.595386E-01,0.000000E+00,9.612049E-01,1.025853E+04,1.850357E+04,6.627757E-01,1.231990E+04,2.595386E-01,0.000000E+00,0.000000E+00
05:10:00,2.595386E-01,0.000000E+00,9.664598E-01,1.033241E+04,1.858629E+04,6.627872E-01,1.231980E+04,2.595386E-01,0.000000E+00,0.000000E+00
05:20:00,2.595386E-01,0.000000E+00,9.751484E-01,1.044463E+04,1.871075E+04,6.627986E-01,1.231970E+04,2.595386E-01,0.000000E+00,0.000000E+00
05:30:00,2.595386E-01,0.000000E+00,9.870225E-01,1.059241E+04,1.887351E+04,6.628100E-01,1.231961E+04,2.595386E-01,0.000000E+00,0.000000E+00
05:40:00,2.595386E-01,0.000000E+00,1.001435E+00,1.076854E+04,1.906656E+04,6.628213E-01,1.231951E+04,2.595386E-01,0.000000E+00,0.000000E+00
05:50:00,2.595386E-01,0.000000E+00,1.017431E+00,1.096234E+04,1.927804E+04,6.628325E-01,1.231942E+04,2.595386E-01,0.000000E+00,0.000000E+00
06:00:00,2.595386E-01,0.000000E+00,1.033580E+00,1.115784E+04,1.948990E+04,6.628437E-01,1.231933E+04,2.595386E-01,0.000000E+00,0.000000E+00
06:10:00,2.595386E-01,0.000000E+00,1.048791E+00,1.138091E+04,1.972740E+04,6.628548E-01,1.231923E+04,2.595386E-01,0.000000E+00,0.000000E+00
