Time,CORE_ZN ZN:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_ZN ZN:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_ZN ZN:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_ZN ZN:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1 ZN:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_1 ZN:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_1 ZN:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1 ZN:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2 ZN:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_2 ZN:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_2 ZN:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2 ZN:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3 ZN:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_3 ZN:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_3 ZN:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3 ZN:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4 ZN:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_4 ZN:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_4 ZN:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4 ZN:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,2.438270E+03,2.673687E+03,8.276696E-02,2.357707E-01,4.294031E+03,2.280709E+03,1.457606E-01,2.011156E-01,2.490647E+03,1.475051E+03,8.454487E-02,1.300713E-01,3.899598E+03,2.251724E+03,1.323717E-01,1.985599E-01,2.515073E+03,1.578007E+03,8.537402E-02,1.391499E-01
00:20:00,2.436844E+03,2.669646E+03,8.271854E-02,2.354144E-01,4.292921E+03,2.271476E+03,1.457230E-01,2.003015E-01,2.489985E+03,1.468735E+03,8.452242E-02,1.295143E-01,3.898475E+03,2.244044E+03,1.323335E-01,1.978826E-01,2.514412E+03,1.570055E+03,8.535159E-02,1.384487E-01
00:30:00,2.435426E+03,2.665578E+03,8.267040E-02,2.350557E-01,4.291818E+03,2.262294E+03,1.456855E-01,1.994918E-01,2.489328E+03,1.462463E+03,8.450011E-02,1.289613E-01,3.897358E+03,2.236394E+03,1.322956E-01,1.972080E-01,2.513755E+03,1.562160E+03,8.532929E-02,1.377525E-01
00:40:00,2.434016E+03,2.661482E+03,8.262255E-02,2.346945E-01,4.290721E+03,2.253167E+03,1.456483E-01,1.986870E-01,2.488674E+03,1.456237E+03,8.447792E-02,1.284124E-01,3.896247E+03,2.228777E+03,1.322579E-01,1.965364E-01,2.513102E+03,1.554323E+03,8.530712E-02,1.370614E-01
00:50:00,2.432615E+03,2.657361E+03,8.257498E-02,2.343311E-01,4.289631E+03,2.244098E+03,1.456113E-01,1.978874E-01,2.488025E+03,1.450060E+03,8.445587E-02,1.278676E-01,3.895143E+03,2.221196E+03,1.322204E-01,1.958679E-01,2.512453E+03,1.546547E+03,8.528508E-02,1.363758E-01
01:00:00,2.431221E+03,2.653215E+03,8.252768E-02,2.339655E-01,4.288547E+03,2.235094E+03,1.455745E-01,1.970933E-01,2.487379E+03,1.443931E+03,8.443394E-02,1.273272E-01,3.894046E+03,2.213656E+03,1.321832E-01,1.952030E-01,2.511807E+03,1.538835E+03,8.526317E-02,1.356957E-01
01:10:00,2.431311E+03,2.649947E+03,8.253072E-02,2.336773E-01,4.288617E+03,2.226879E+03,1.455769E-01,1.963690E-01,2.487420E+03,1.438281E+03,8.443535E-02,1.268289E-01,3.894116E+03,2.206881E+03,1.321856E-01,1.946056E-01,2.511849E+03,1.531621E+03,8.526457E-02,1.350596E-01
01:20:00,2.431400E+03,2.646651E+03,8.253373E-02,2.333867E-01,4.288686E+03,2.218779E+03,1.455792E-01,1.956547E-01,2.487461E+03,1.432700E+03,8.443675E-02,1.263369E-01,3.894186E+03,2.200176E+03,1.321879E-01,1.940144E-01,2.511890E+03,1.524495E+03,8.526597E-02,1.344312E-01
01:30:00,2.431488E+03,2.643330E+03,8.253674E-02,2.330938E-01,4.288755E+03,2.210799E+03,1.455816E-01,1.949510E-01,2.487502E+03,1.427191E+03,8.443814E-02,1.258511E-01,3.894256E+03,2.193545E+03,1.321903E-01,1.934296E-01,2.511931E+03,1.517460E+03,8.526736E-02,1.338109E-01
01:40:00,2.431576E+03,2.639985E+03,8.253972E-02,2.327989E-01,4.288823E+03,2.202942E+03,1.455839E-01,1.942582E-01,2.487543E+03,1.421755E+03,8.443952E-02,1.253718E-01,3.894325E+03,2.186990E+03,1.321927E-01,1.928516E-01,2.511972E+03,1.510518E+03,8.526874E-02,1.331988E-01
