Time,FIVEZONE PVAV:DesPer 1:Des Heat Mass Flow [kg/s],FIVEZONE PVAV:DesPer 1:Des Heat Cap [W],FIVEZONE PVAV:DesPer 1:Des Cool Mass Flow [kg/s],FIVEZONE PVAV:DesPer 1:Des Sens Cool Cap [W],FIVEZONE PVAV:DesPer 1:Des Tot Cool Cap [W],FIVEZONE PVAV:DesPer 2:Des Heat Mass Flow [kg/s],FIVEZONE PVAV:DesPer 2:Des Heat Cap [W],FIVEZONE PVAV:DesPer 2:Des Cool Mass Flow [kg/s],FIVEZONE PVAV:DesPer 2:Des Sens Cool Cap [W],FIVEZONE PVAV:DesPer 2:Des Tot Cool Cap [W]
00:10:00,2.595386E-01,0.000000E+00,1.045208E+00,1.197195E+04,2.077976E+04,7.655069E-01,1.146052E+04,2.595386E-01,0.000000E+00,0.000000E+00
00:20:00,2.595386E-01,0.000000E+00,1.041017E+00,1.187952E+04,2.068062E+04,7.652956E-01,1.146229E+04,2.595386E-01,0.000000E+00,0.000000E+00
00:30:00,2.595386E-01,0.000000E+00,1.036856E+00,1.178743E+04,2.058181E+04,7.650856E-01,1.146405E+04,2.595386E-01,0.000000E+00,0.000000E+00
00:40:00,2.595386E-01,0.000000E+00,1.032727E+00,1.169569E+04,2.048334E+04,7.648768E-01,1.146580E+04,2.595386E-01,0.000000E+00,0.000000E+00
00:50:00,2.595386E-01,0.000000E+00,1.028632E+00,1.160433E+04,2.038526E+04,7.646693E-01,1.146754E+04,2.595386E-01,0.000000E+00,0.000000E+00
01:00:00,2.595386E-01,0.000000E+00,1.024571E+00,1.151335E+04,2.028760E+04,7.644629E-01,1.146926E+04,2.595386E-01,0.000000E+00,0.000000E+00
01:10:00,2.595386E-01,0.000000E+00,1.020887E+00,1.144179E+04,2.021063E+04,7.644762E-01,1.146915E+04,2.595386E-01,0.000000E+00,0.000000E+00
01:20:00,2.595386E-01,0.000000E+00,1.017265E+00,1.137093E+04,2.013442E+04,7.644893E-01,1.146904E+04,2.595386E-01,0.000000E+00,0.000000E+00
01:30:00,2.595386E-01,0.000000E+00,1.013707E+00,1.130079E+04,2.005893E+04,7.645024E-01,1.146893E+04,2.595386E-01,0.000000E+00,0.000000E+00
01:40:00,2.595386E-01,0.000000E+00,1.010216E+00,1.123137E+04,1.998423E+04,7.645154E-01,1.146882E+04,2.595386E-01,0.000000E+00,0.000000E+00
01:50:00,2.595386E-01,0.000000E+00,1.006791E+00,1.116271E+04,1.991033E+04,7.645284E-01,1.146872E+04,2.595386E-01,0.000000E+00,0.000000E+00
02:00:00,2.595386E-01,0.000000E+00,1.003434E+00,1.109481E+04,1.983731E+04,7.645412E-01,1.146861E+04,2.595386E-01,0.000000E+00,0.000000E+00
02:10:00,2.595386E-01,0.000000E+00,1.000118E+00,1.103496E+04,1.977254E+04,7.645540E-01,1.146850E+04,2.595386E-01,0.000000E+00,0.000000E+00
02:20:00,2.595386E-01,0.000000E+00,9.968416E-01,1.097557E+04,1.970823E+04,7.645667E-01,1.146839E+04,2.595386E-01,0.000000E+00,0.000000E+00
02:30:00,2.595386E-01,0.000000E+00,9.936060E-01,1.091662E+04,1.964438E+04,7.645794E-01,1.146829E+04,2.595386E-01,0.000000E+00,0.000000E+00
02:40:00,2.595386E-01,0.000000E+00,9.904120E-01,1.085815E+04,1.958101E+04,7.645919E-01,1.146818E+04,2.595386E-01,0.000000E+00,0.000000E+00
02:50:00,2.595386E-01,0.000000E+00,9.872594E-01,1.080013E+04,1.951813E+04,7.646044E-01,1.146808E+04,2.595386E-01,0.000000E+00,0.000000E+00
03:00:00,2.595386E-01,0.000000E+00,9.841479E-01,1.074257E+04,1.945575E+04,7.646169E-01,1.146797E+04,2.595386E-01,0.000000E+00,0.000000E+00
03:10:00,2.595386E-01,0.000000E+00,9.810502E-01,1.068517E+04,1.939350E+04,7.646292E-01,1.146787E+04,2.595386E-01,0.000000E+00,0.000000E+00
03:20:00,2.595386E-01,0.000000E+00,9.779648E-01,1.062790E+04,1.933137E+04,7.646415E-01,1.146777E+04,2.595386E-01,0.000000E+00,0.000000E+00
03:30:00,2.595386E-01,0.000000E+00,9.748889E-01,1.057074E+04,1.926933E+04,7.646537E-01,1.146767E+04,2.595386E-01,0.000000E+00,0.000000E+00
03:40:00,2.595386E-01,0.000000E+00,9.718194E-01,1.051365E+04,1.920732E+04,7.646658E-01,1.146757E+04,2.595386E-01,0.000000E+00,0.000000E+00
03:50:00,2.595386E-01,0.000000E+00,9.687558E-01,1.045663E+04,1.914537E+04,7.646779E-01,1.146746E+04,2.595386E-01,0.000000E+00,0.000000E+00
04:00:00,2.595386E-01,0.000000E+00,9.656967E-01,1.039965E+04,1.908343E+04,7.646898E-01,1.146736E+04,2.595386E-01,0.000000E+00,0.000000E+00
04:10:00,2.595386E-01,0.000000E+00,9.626673E-01,1.035062E+04,1.902966E+04,7.647018E-01,1.146726E+04,2.595386E-01,0.000000E+00,0.000000E+00
04:20:00,2.595386E-01,0.000000E+00,9.596685E-01,1.030193E+04,1.897625E+04,7.647136E-01,1.146717E+04,2.595386E-01,0.000000E+00,0.000000E+00
04:30:00,2.595386E-01,0.000000E+00,9.567024E-01,1.025360E+04,1.892322E+04,7.647254E-01,1.146707E+04,2.595386E-01,0.000000E+00,0.000000E+00
04:40:00,2.595386E-01,0.000000E+00,9.543498E-01,1.021212E+04,1.887879E+04,7.647371E-01,1.146697E+04,2.595386E-01,0.000000E+00,0.000000E+00
04:50:00,2.595386E-01,0.000000E+00,9.534945E-01,1.018736E+04,1.885476E+04,7.647487E-01,1.146687E+04,2.595386E-01,0.000000E+00,0.000000E+00
05:00:00,2.595386E-01,0.000000E+00,9.554150E-01,1.019358E+04,1.886781E+04,7.647603E-01,1.146677E+04,2.595386E-01,0.000000E+00,0.000000E+00
05:10:00,2.595386E-01,0.000000E+00,9.605425E-01,1.026604E+04,1.895304E+04,7.647718E-01,1.146668E+04,2.595386E-01,0.000000E+00,0.000000E+00
