Time,FIVEZONE PVAV:DesPer 1:Des Heat Mass Flow [kg/s],FIVEZONE PVAV:DesPer 1:Des Heat Cap [W],FIVEZONE PVAV:DesPer 1:Des Cool Mass Flow [kg/s],FIVEZONE PVAV:DesPer 1:Des Sens Cool Cap [W],FIVEZONE PVAV:DesPer 1:Des Tot Cool Cap [W],FIVEZONE PVAV:DesPer 2:Des Heat Mass Flow [kg/s],FIVEZONE PVAV:DesPer 2:Des Heat Cap [W],FIVEZONE PVAV:DesPer 2:Des Cool Mass Flow [kg/s],FIVEZONE PVAV:DesPer 2:Des Sens Cool Cap [W],FIVEZONE PVAV:DesPer 2:Des Tot Cool Cap [W]
00:10:00,2.595386E-01,0.000000E+00,1.149728E+00,1.313885E+04,2.222148E+04,8.420576E-01,1.081976E+04,2.595386E-01,0.000000E+00,0.000000E+00
00:20:00,2.595386E-01,0.000000E+00,1.145118E+00,1.304174E+04,2.211749E+04,8.418252E-01,1.082171E+04,2.595386E-01,0.000000E+00,0.000000E+00
00:30:00,2.595386E-01,0.000000E+00,1.140542E+00,1.294501E+04,2.201385E+04,8.415942E-01,1.082364E+04,2.595386E-01,0.000000E+00,0.000000E+00
00:40:00,2.595386E-01,0.000000E+00,1.136000E+00,1.284866E+04,2.191059E+04,8.413645E-01,1.082557E+04,2.595386E-01,0.000000E+00,0.000000E+00
00:50:00,2.595386E-01,0.000000E+00,1.131495E+00,1.275273E+04,2.180776E+04,8.411362E-01,1.082748E+04,2.595386E-01,0.000000E+00,0.000000E+00
01:00:00,2.595386E-01,0.000000E+00,1.127028E+00,1.265721E+04,2.170538E+04,8.409092E-01,1.082938E+04,2.595386E-01,0.000000E+00,0.000000E+00
01:10:00,2.595386E-01,0.000000E+00,1.122975E+00,1.258154E+04,2.162421E+04,8.409238E-01,1.082926E+04,2.595386E-01,0.000000E+00,0.000000E+00
01:20:00,2.595386E-01,0.000000E+00,1.118991E+00,1.250664E+04,2.154387E+04,8.409383E-01,1.082913E+04,2.595386E-01,0.000000E+00,0.000000E+00
01:30:00,2.595386E-01,0.000000E+00,1.115078E+00,1.243252E+04,2.146432E+04,8.409527E-01,1.082901E+04,2.595386E-01,0.000000E+00,0.000000E+00
01:40:00,2.595386E-01,0.000000E+00,1.111237E+00,1.235921E+04,2.138563E+04,8.409670E-01,1.082889E+04,2.595386E-01,0.000000E+00,0.000000E+00
01:50:00,2.595386E-01,0.000000E+00,1.107470E+00,1.228673E+04,2.130782E+04,8.409812E-01,1.082877E+04,2.595386E-01,0.000000E+00,0.000000E+00
02:00:00,2.595386E-01,0.000000E+00,1.103777E+00,1.221507E+04,2.123097E+04,8.409954E-01,1.082866E+04,2.595386E-01,0.000000E+00,0.000000E+00
02:10:00,2.595386E-01,0.000000E+00,1.100130E+00,1.215153E+04,2.116241E+04,8.410094E-01,1.082854E+04,2.595386E-01,0.000000E+00,0.000000E+00
02:20:00,2.595386E-01,0.000000E+00,1.096526E+00,1.208847E+04,2.109436E+04,8.410234E-01,1.082842E+04,2.595386E-01,0.000000E+00,0.000000E+00
02:30:00,2.595386E-01,0.000000E+00,1.092967E+00,1.202592E+04,2.102682E+04,8.410373E-01,1.082830E+04,2.595386E-01,0.000000E+00,0.000000E+00
02:40:00,2.595386E-01,0.000000E+00,1.089453E+00,1.196387E+04,2.095979E+04,8.410511E-01,1.082819E+04,2.595386E-01,0.000000E+00,0.000000E+00
02:50:00,2.595386E-01,0.000000E+00,1.085985E+00,1.190234E+04,2.089330E+04,8.410649E-01,1.082807E+04,2.595386E-01,0.000000E+00,0.000000E+00
03:00:00,2.595386E-01,0.000000E+00,1.082563E+00,1.184130E+04,2.082736E+04,8.410785E-01,1.082796E+04,2.595386E-01,0.000000E+00,0.000000E+00
03:10:00,2.595386E-01,0.000000E+00,1.079155E+00,1.178044E+04,2.076156E+04,8.410921E-01,1.082785E+04,2.595386E-01,0.000000E+00,0.000000E+00
03:20:00,2.595386E-01,0.000000E+00,1.075761E+00,1.171973E+04,2.069590E+04,8.411056E-01,1.082773E+04,2.595386E-01,0.000000E+00,0.000000E+00
03:30:00,2.595386E-01,0.000000E+00,1.072378E+00,1.165913E+04,2.063033E+04,8.411190E-01,1.082762E+04,2.595386E-01,0.000000E+00,0.000000E+00
03:40:00,2.595386E-01,0.000000E+00,1.069001E+00,1.159862E+04,2.056480E+04,8.411324E-01,1.082751E+04,2.595386E-01,0.000000E+00,0.000000E+00
03:50:00,2.595386E-01,0.000000E+00,1.065631E+00,1.153818E+04,2.049933E+04,8.411456E-01,1.082740E+04,2.595386E-01,0.000000E+00,0.000000E+00
04:00:00,2.595386E-01,0.000000E+00,1.062266E+00,1.147779E+04,2.043388E+04,8.411588E-01,1.082729E+04,2.595386E-01,0.000000E+00,0.000000E+00
04:10:00,2.595386E-01,0.000000E+00,1.058934E+00,1.142537E+04,2.037663E+04,8.411719E-01,1.082718E+04,2.595386E-01,0.000000E+00,0.000000E+00
04:20:00,2.595386E-01,0.000000E+00,1.055635E+00,1.137333E+04,2.031977E+04,8.411850E-01,1.082707E+04,2.595386E-01,0.000000E+00,0.000000E+00
04:30:00,2.595386E-01,0.000000E+00,1.052373E+00,1.132169E+04,2.026334E+04,8.411979E-01,1.082696E+04,2.595386E-01,0.000000E+00,0.000000E+00
04:40:00,2.595386E-01,0.000000E+00,1.049785E+00,1.127759E+04,2.021637E+04,8.412108E-01,1.082685E+04,2.595386E-01,0.000000E+00,0.000000E+00
04:50:00,2.595386E-01,0.000000E+00,1.048844E+00,1.125187E+04,2.019179E+04,8.412236E-01,1.082675E+04,2.595386E-01,0.000000E+00,0.000000E+00
05:00:00,2.595386E-01,0.000000E+00,1.050956E+00,1.126024E+04,2.020784E+04,8.412363E-01,1.082664E+04,2.595386E-01,0.000000E+00,0.000000E+00
05:10:00,2.595386E-01,0.000000E+00,1.056597E+00,1.133841E+04,2.029985E+04,8.412490E-01,1.082653E+04,2.595386E-01,0.000000E+00,0.000000E+00
05:20:00,2.595386E-01,0.000000E+00,1.066082E+00,1.145952E+04,2.043984E+04,8.412616E-01,1.082643E+04,2.595386E-01,0.000000E+00,0.000000E+00
05:30:00,2.595386E-01,0.000000E+00,1.079141E+00,1.162050E+04,2.062371E+04,8.412741E-01,1.082632E+04,2.595386E-01,0.000000E+00,0.000000E+00
05:40:00,2.595386E-01,0.000000E+00,1.095060E+00,1.181343E+04,2.084245E+04,8.412865E-01,1.082622E+04,2.595386E-01,0.000000E+00,0.000000E+00
05:50:00,2.595386E-01,0.000000E+00,1.112790E+00,1.202657E+04,2.108258E+04,8.412989E-01,1.082612E+04,2.595386E-01,0.000000E+00,0.000000E+00
06:00:00,2.595386E-01,0.000000E+00,1.130758E+00,1.224237E+04,2.132322E+04,8.413112E-01,1.082601E+04,2.595386E-01,0.000000E+00,0.000000E+00
06:10:00,2.595386E-01,0.000000E+00,1.147781E+00,1.248565E+04,2.158786E+04,8.413234E-01,1.082591E+04,2.595386E-01,0.000000E+00,0.000000E+00
06:20:00,2.595386E-01,0.000000E+00,1.163510E+00,1.271450E+04,2.183458E+04,8.413355E-01,1.082581E+04,2.595386E-01,0.000000E+00,0.000000E+00
06:30:00,2.595386E-01,0.000000E+00,1.178595E+00,1.293616E+04,2.207323E+04,8.413476E-01,1.082571E+04,2.595386E-01,0.000000E+00,0.000000E+00
06:40:00,2.595386E-01,0.000000E+00,1.192568E+00,1.314541E+04,2.229684E+04,8.413596E-01,1.082561E+04,2.595386E-01,0.000000E+00,0.000000E+00
06:50:00,2.595386E-01,0.000000E+00,1.205296E+00,1.334075E+04,2.250409E+04,8.413715E-01,1.082551E+04,2.595386E-01,0.000000E+00,0.000000E+00
07:00:00,2.595386E-01,0.000000E+00,1.217051E+00,1.352525E+04,2.269939E+04,8.413834E-01,1.082541E+04,2.595386E-01,0.000000E+00,0.000000E+00
07:10:00,2.595386E-01,0.000000E+00,1.228908E+00,1.378694E+04,2.297521E+04,8.413952E-01,1.082531E+04,2.595386E-01,0.000000E+00,0.000000E+00
07:20:00,2.595386E-01,0.000000E+00,1.240590E+00,1.404668E+04,2.324913E+04,8.414069E-01,1.082521E+04,2.595386E-01,0.000000E+00,0.000000E+00
07:30:00,2.595386E-01,0.000000E+00,1.251477E+00,1.429754E+04,2.351254E+04,8.414186E-01,1.082511E+04,2.595386E-01,0.000000E+00,0.000000E+00
